,joshgroban
2372,1465382245737197570
2373,1475772080339750912
2374,1409043719203008512
2375,363262765
2376,1470199556059156481
2377,230959345
2378,49701032
2379,1475447765627031555
2380,1428386544344309760
2381,1475295441847783431
2382,1475320290888634368
2383,1475322207446384644
2384,762703123
2385,979032713951875072
2386,994417769956261889
2387,115951860
2388,1472747861251170304
2389,26085324
2390,1475210184784064521
2391,1163425912626589697
2392,1475193426605920257
2393,1365005624942206980
2394,1475157307533189132
2395,1469028111970971654
2396,1349222138012606464
2397,189639527
2398,1473171508658847748
2399,1439139167875780616
2400,425710614
2401,915775772257689600
2402,1473654040609370117
2403,1276483307086262275
2404,133632155
2405,1253353899060322306
2406,2920290838
2407,33161091
2408,1474872699759517708
2409,1474855026346635279
2410,724521750
2411,1474778315802087428
2412,1384666112219131905
2413,1474742961262891010
2414,1378955066506407938
2415,1474145387489419265
2416,2907151912
2417,2272821469
2418,1463928505595531270
2419,860623548322336768
2420,768999595586228224
2421,1250195958148759552
2422,1474528267415830534
2423,1039728334069026817
2424,1474459643556634625
2425,51912396
2426,1258262737785929728
2427,967180363020881921
2428,1474380733103886336
2429,1474376282989555712
2430,1474367399616991240
2431,301005111
2432,3502289542
2433,441386249
2434,970735873045204992
2435,1474093723441057796
2436,1445807891827412993
2437,1442664870768517128
2438,1202433681899610113
2439,1186348367544238080
2440,52548719
2441,1107495250283491328
2442,1450027771577581569
2443,1474101407091511299
2444,1357782045494181888
2445,1081904261578014722
2446,1408888771316260870
2447,1271064618614624256
2448,1223748478611927040
2449,1360383896567824385
2450,2543776170
2451,1372342534664560641
2452,1452986748787638272
2453,1399331341041242112
2454,1153118922545258498
2455,1473896638724947971
2456,4027056438
2457,151574641
2458,2934964277
2459,1473770429642776582
2460,42993039
2461,1019534181741875200
2462,120359673
2463,1462607150497284108
2464,1473742201335291907
2465,1471634089987948546
2466,1168732330246189057
2467,2504024458
2468,2967844005
2469,1472907769086988288
2470,1367360856829292545
2471,1265308917992615936
2472,1473690098717929474
2473,76105734
2474,829156716117897216
2475,1219302540308672513
2476,810253571748806656
2477,504658427
2478,32702865
2479,1473643915425288195
2480,1262460588065566721
2481,2744518889
2482,1360640970828754945
2483,930789254648692736
2484,1472894658548318209
2485,1455026805010690055
2486,875942221
2487,1456127945173573632
2488,1471313870509666306
2489,463231642
2490,1363229203966091264
2491,126368196
2492,1469052988702564354
2493,1393265149939785730
2494,1391045155008958465
2495,1473095097361260548
2496,724347578
2497,1419649408271101952
2498,1415355659973976098
2499,862542989561708544
2500,23411838
2501,98380631
2502,1473189495897874433
2503,448368670
2504,4664864672
2505,1038112345833263104
2506,1473148754727428100
2507,1469460215213039636
2508,1223397307
2509,1401662501322952709
2510,1000788584385916933
2511,878732072613019648
2512,1473075406517456902
2513,1333774710719582211
2514,1473052240629927947
2515,1458544923666534407
2516,1245531962
2517,1459954855557013505
2518,1470174004413702147
2519,1472991272038277126
2520,344408788
2521,1114038785145212931
2522,1472970096545091589
2523,1472957990194008076
2524,1440836542352658433
2525,2612832907
2526,1472608633636728838
2527,1094396442079158272
2528,1469326255225020429
2529,81272847
2530,1472912673545330691
2531,424374737
2532,828577814530113537
2533,2535735015
2534,1466520248077668352
2535,1142130381191204864
2536,1472391135343513602
2537,1472802871582277638
2538,1472801650167345152
2539,3619494732
2540,1464582362688335872
2541,1469477740877434884
