,AndreaBocelli
1296,1457834756234743823
1297,953074517579976704
1298,1505980004278091784
1299,1504046432365563904
1300,1278111157472178180
1301,1456903191073787910
1302,391963476
1303,1468652746836430853
1304,1503284271011799043
1305,1493168525971800065
1306,428455244
1307,764182524683755521
1308,532371720
1309,1293970534774878210
1310,1290761825869414401
1311,1446811119121805312
1312,1296629747229659136
1313,883707441350881281
1314,1504685940035534848
1315,1489584467291353089
1316,1470482979910782979
1317,755003789510270977
1318,742504542
1319,1460196064347234311
1320,1503672465398108160
1321,239661139
1322,926751827978309632
1323,1277764632761872384
1324,1411841026780663810
1325,1504093382137757709
1326,1543936489
1327,1358580095330488321
1328,1506006164227739650
1329,1504957273428398090
1330,3290215943
1331,1626800294
1332,1505721359674052610
1333,1367905774077378565
1334,1377961633432141828
1335,1347094026223284224
1336,976109270
1337,1505864017545510912
1338,379697521
1339,758273952355536896
1340,703081107923738624
1341,1178610286305169408
1342,3258742666
1343,1505635959844524036
1344,2368519015
1345,1504828367123755020
1346,1431925225961267200
1347,1151763124497920000
1348,1183143340872585216
1349,1440331172882509827
1350,1460811272207966211
1351,1504225183208509446
1352,1449671288864354306
1353,812334746
1354,1505198024993259525
1355,1497990236302974977
1356,1119914694439919617
1357,1505430909629120512
1358,1090567189
1359,1501833847218089986
1360,25157474
1361,240059161
1362,786814573173051393
1363,301509188
1364,1503530564032245762
1365,455040170
1366,1504967075772600324
1367,1492261831854985227
1368,1504080317891633154
1369,1477932199638978563
1370,1440668302691368967
1371,36323353
1372,1505001497280589826
1373,1418960321360896020
1374,61402208
1375,1357092773871169542
1376,1504282170579247105
1377,1446663812376051714
1378,2232015682
1379,1501339896492998665
1380,1455849457120169984
1381,1502429138098958336
1382,1504482757501591565
1383,1500933643904167936
1384,1395123321075900426
1385,996745767384698885
1386,1251590125970247682
1387,882496394
1388,1352762239602798593
1389,1446601062455119876
1390,745212286931963904
1391,726110504565899265
1392,934740020
1393,1503071546344189962
1394,302023604
1395,784747920855801856
1396,981512920994631680
1397,35177908
1398,1000429514013454336
1399,1443279207845433344
1400,1186251720470519808
1401,76609711
1402,1503825731671007233
1403,1504105911413006350
1404,1504124032022630404
1405,1497134863505317910
1406,1504105459283898379
1407,3005807105
1408,1425145970027859968
1409,1502851227532640256
1410,359615045
1411,47578979
1412,107188218
1413,1503900541549694977
1414,3273316633
1415,1386632376348991490
1416,1503857398427095042
1417,1503841440731910144
1418,1082390680847241216
1419,1499304660494077952
1420,1503377996073349122
1421,1462870783827451906
1422,1501985321810112516
1423,1499341344669679625
1424,1502983775491268608
1425,1491474235675791361
1426,1410618029105319941
1427,1312523646041305092
1428,1126841908641222661
1429,1503592224293994498
1430,27031501
1431,1157470243436027904
1432,1069803986
1433,1502376181198462986
1434,1503525581824139265
1435,1503513409110921217
1436,962791067711037440
1437,1503460302381322241
1438,1013756161
1439,1268599013000921089
1440,289963103
1441,1221066058079068162
1442,14487541
1443,1502878329673814016
1444,1503018594304724995
1445,1464428528972271616
1446,1498904297840562179
1447,258541451
1448,1498868438281900034
1449,1454318351572946945
1450,964096487733985280
1451,1503219710678245378
1452,42079976
1453,954005699926904832
